日,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),雪(cm),天気概況
現地,海面
平均,平均,合計,最大,平均,最高,最低,平均,最小,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,昼(06:00-18:00),夜(18:00-翌日06:00)
1時間,10分間,風速,風向,風速,風向,合計,値
1,1006.0,1008.8,0.5,0.5,0.5,23.3,26.6,20.1,81,69,2.6,6.2,北西,10.5,北西,2.7,--,--,曇一時雨,晴一時曇
2,1007.9,1010.7,0.0,0.0,0.0,26.5,31.9,22.0,77,48,2.9,7.0,南南東,12.5,南,10.2,--,--,晴時々薄曇,曇時々雨一時晴
3,1015.9,1018.7,11.0,8.5,7.0,23.1,25.4,21.6,87,70,2.7,5.9,東,9.7,東,0.2,--,--,曇時々雨,曇時々雨
4,1015.4,1018.2,2.0,3.0,2.0,25.9,30.4,22.3,87,62,3.5,7.1,南南西,16.6,西南西,3.8,--,--,曇一時雨,曇後一時雨
5,1018.4,1021.3,9.5,2.5,1.0,21.3,24.5,18.9,94,82,2.5,4.9,東北東,9.2,東北東,0.0,--,--,雨一時曇,雨後曇
6,1017.1,1020.0,0.0,0.0,0.0,21.3,22.9,19.1,93,85,1.7,3.7,北西,5.5,北西,0.0,--,--,曇一時雨,曇後一時晴
7,1008.9,1011.7,0.0,0.0,0.0,25.0,29.9,20.7,83,64,2.9,7.3,南,12.3,南,7.3,--,--,晴時々曇,雨時々曇一時晴
8,1008.9,1011.7,33.5,7.0,3.0,18.8,25.3,15.1,97,79,3.0,5.4,東北東,9.6,北北東,0.0,--,--,雨,大雨
9,1009.3,1012.2,53.5,10.0,2.5,16.0,17.7,14.9,93,78,2.9,4.7,北北東,10.9,北,0.0,--,--,雨後一時曇,晴時々曇
10,1009.8,1012.7,0.0,0.0,0.0,17.8,22.1,15.2,75,64,2.6,4.1,北北西,8.8,北北西,0.9,--,--,曇,晴時々薄曇
11,1013.1,1015.9,--,--,--,19.0,24.3,14.3,69,44,1.9,4.7,南東,8.2,南東,9.9,--,--,薄曇,晴一時薄曇
12,1019.0,1021.8,--,--,--,20.6,25.8,16.4,73,49,1.9,3.9,東,7.8,東,8.8,--,--,晴,快晴
13,1021.1,1024.0,--,--,--,20.9,26.6,16.9,70,45,2.2,3.9,東北東,7.7,東,9.7,--,--,晴,快晴
14,1022.6,1025.5,--,--,--,20.8,26.4,16.8,71,49,2.3,4.2,東北東,8.0,東北東,8.7,--,--,晴,晴時々曇
15,1020.3,1023.1,--,--,--,22.1,26.6,17.9,72,51,2.2,4.4,南南東,6.6,南南東,9.7,--,--,晴,晴後一時薄曇
16,1017.3,1020.2,0.0,0.0,0.0,22.6,26.4,19.0,76,60,1.5,2.7,南,4.8,南,1.0,--,--,曇,曇
17,1020.0,1022.8,0.0,0.0,0.0,22.8,26.0,20.7,79,66,2.3,4.5,北北東,7.9,北北東,0.9,--,--,曇一時雨,薄曇
18,1019.5,1022.3,2.0,1.5,0.5,21.6,22.9,20.5,92,83,1.8,3.1,北西,6.1,北北西,0.0,--,--,曇時々雨,雨時々曇
19,1009.2,1012.0,1.5,0.5,0.5,24.2,30.1,21.2,84,59,2.7,5.7,北西,11.1,西北西,4.2,--,--,曇,曇時々雨
20,1023.6,1026.4,0.0,0.0,0.0,17.4,22.7,13.3,55,41,3.6,6.2,北北西,13.7,西北西,6.5,--,--,晴時々曇一時雨,晴
21,1029.2,1032.1,0.0,0.0,0.0,16.2,20.5,11.5,61,45,2.7,5.3,北西,8.2,北西,4.4,--,--,晴時々曇,晴時々曇
22,1022.1,1024.9,0.0,0.0,0.0,19.7,24.4,14.5,69,50,1.9,4.4,北西,7.9,北西,4.7,--,--,晴時々曇,曇
23,1012.3,1015.1,6.5,3.5,2.5,21.9,24.8,18.8,90,76,2.3,6.8,南,11.6,南,0.2,--,--,曇時々雨,曇
24,1013.5,1016.3,0.0,0.0,0.0,22.6,26.3,19.8,79,67,2.2,4.5,東北東,7.5,東北東,4.2,--,--,曇一時晴,曇後一時雨
25,1021.1,1024.0,0.5,0.5,0.5,20.2,21.8,18.3,77,65,2.4,4.2,北北東,7.8,北北東,0.0,--,--,曇一時雨,曇
26,1019.1,1022.0,--,--,--,19.0,20.7,17.2,80,67,1.7,3.0,北西,5.3,北北西,0.0,--,--,曇,曇後一時晴
27,1011.4,1014.3,4.0,1.5,1.0,19.7,23.8,16.6,87,64,1.5,4.3,北西,5.9,西北西,2.8,--,--,曇一時晴後一時雨,雨時々曇
28,1006.4,1009.2,8.0,2.5,1.0,18.8,20.7,17.2,87,66,1.9,3.4,北北東,6.5,北北西,0.0,--,--,曇一時雨,曇後時々雨
29,1017.4,1020.3,24.5,5.0,1.5,15.4,18.8,12.4,79,61,2.9,5.8,北東,9.7,北東,0.0,--,--,曇後雨,大雨
30,1012.4,1015.3,17.5,3.5,2.0,16.8,22.4,12.6,79,44,3.2,7.0,北西,15.4,北西,3.9,--,--,雨後薄曇,晴時々薄曇
31,1021.9,1024.8,--,--,--,16.2,20.2,12.9,65,39,2.0,3.8,南南東,7.1,北北東,7.0,--,--,薄曇,薄曇時々晴
